code;title;date;event_type;country
EMSR101;Floods in Croatia;2014-09-14 11:00:00;Flood;Croatia
EMSR097;Floods in Bangladesh;2014-08-22 12:43:00;Flood;Bangladesh
EMSR092;Flash floods and landslides in Bulgaria;2014-06-20 17:10:00;Flood;Bulgaria
EMSR089;Floods in Norway;2014-05-28 19:09:00;Flood;Norway
EMSR088;Floods in Croatia;2014-05-17 12:47:00;Flood;Croatia
EMSR086;Floods in Serbia;2014-05-16 15:00:00;Flood;Serbia
EMSR087;Floods in Bosnia and Herzegovina;2014-05-16 12:30:00;Flood;Bosnia and Herzegovina - Serbia
EMSR085;LuModExercise - Flood in Mertert- Luxembourg;2014-05-07 11:30:00;Flood;Luxembourg
EMSR083;Floods in Marche- Italy;2014-05-05 18:45:00;Flood;Italy
EMSR082;Floods in South-West Romania;2014-05-04 17:07:00;Flood;Romania
EMSR079;Floods in Serbia;2014-04-25 22:38:00;Flood;Serbia
EMSR078;Floods in Romania;2014-04-23 23:06:00;Flood;Romania
EMSR073;Floods in Croatia;2014-02-20 17:33:00;Flood;Croatia
EMSR072;Floods in central Portugal;2014-02-20 15:46:00;Flood;Portugal
EMSR070;Floods in Slovenia;2014-02-11 14:16:00;Flood;Slovenia
EMSR069;Floods in Southern England;2014-02-10 10:10:00;Flood;United Kingdom
EMSR068;Floods in Bretagne;2014-02-07 11:40:00;Flood;France
EMSR067;Floods in Emilia Romagna and Liguria- Italy;2014-01-22 13:40:00;Flood;Italy
EMSR066;Flood in Portugal;2014-01-08 10:21:00;Flood;Portugal
EMSR065;Floods in Bretagne- France;2014-01-02 19:51:00;Flood;France
EMSR062;Flood in Central and Southern Italy;2013-12-03 11:00:00;Flood;Italy
EMSR061;Flood in Sardinia- Italy;2013-11-19 01:30:00;Flood;Italy
EMSR060;Flood in Marche and Umbria- Italy;2013-11-13 18:54:00;Flood;Italy
EMSR055;Flood in Cambodia;2013-10-17 20:42:00;Flood;Cambodia
EMSR053;Flood in Italy;2013-10-11 13:07:00;Flood;Italy
EMSR052;Flood in Cambodia;2013-10-07 11:23:00;Flood;Cambodia
EMSR049;Floods in Uttarakhand state - India;2013-06-27 12:00:00;Flood;India
EMSR048;Floods in Southern France;2013-06-18 20:24:00;Flood;France
EMSR047;Flood in Sachsen-Anhalt- Germany;2013-06-17 16:30:00;Flood;Germany
EMSR046;Floods in Hungary;2013-06-05 15:45:00;Flood;Hungary
EMSR045;Floods in Czech Republic;2013-06-05 13:50:00;Flood;Czechia
EMSR044;Floods in Germany;2013-06-03 09:20:00;Flood;Germany
EMSR040;Flood in Assam;2013-04-29 15:27:00;Flood;India
EMSR035;Floods in Neretva;2013-04-05 14:54:00;Flood;Croatia
EMSR033;Flood in Apace;2013-04-04 08:41:00;Flood;Slovenia
EMSR028;Floods in Zaragoza;2013-02-21 12:00:00;Flood;Spain
EMSR026;Flood in Mozambique;2013-01-23 12:25:00;Flood;Mozambique
EMSR024;Flooding of Refugee Camp in Mafraq;2013-01-07 13:00:00;Flood;Jordan
EMSR022;Floods in Wales;2012-11-29 16:30:00;Flood;United Kingdom
EMSR020;Floods in Slovenia;2012-11-06 11:46:00;Flood;Slovenia
EMSR019;Floods in Cameroon;2012-09-07 15:03:00;Flood;Cameroon
EMSR018;Floods in Niger;2012-08-28 16:22:00;Flood;Niger
EMSR017;Floods in Philippines;2012-08-14 21:20:00;Flood;Philippines
EMSR009;Floods in Sweden;2012-07-09 12:56:00;Flood;Sweden
