month,event_count,avg_severity,total_deaths
1979-01-01,3,,332
1979-02-01,2,,132
1979-03-01,1,,0
1979-04-01,3,,36
1979-05-01,4,,23
1979-06-01,4,,76
1979-07-01,2,,100
1979-08-01,2,,0
1979-10-01,5,,89
1979-11-01,5,,240
1979-12-01,3,,0
1980-01-01,5,,94
1980-02-01,4,,92
1980-03-01,3,,85
1980-04-01,1,,70
1980-05-01,1,,31
1980-06-01,4,,6266
1980-07-01,5,,899
1980-08-01,3,,2275
1980-09-01,4,,306
1980-10-01,4,,97
1980-11-01,3,,98
1980-12-01,2,,154
1981-01-01,6,,364
1981-02-01,1,,0
1981-03-01,4,,138
1981-04-01,3,,35
1981-05-01,4,,578
1981-07-01,6,,2050
1981-08-01,2,,914
1981-09-01,5,,693
1981-10-01,4,,334
1981-11-01,1,,0
1981-12-01,6,,123
1982-01-01,9,,451
1982-02-01,1,,13
1982-03-01,3,,482
1982-04-01,2,,0
1982-05-01,3,,467
1982-06-01,7,,2
1982-07-01,3,,437
1982-08-01,5,,1001
1982-09-01,4,,1124
1982-10-01,3,,235
1982-11-01,4,,379
1982-12-01,3,,37
1983-01-01,1,,68
1983-02-01,3,,91
1983-03-01,2,,295
1983-04-01,4,,96
1983-05-01,6,,87
1983-06-01,3,,101
1983-07-01,4,,220
1983-08-01,9,,305
1983-09-01,6,,722
1983-10-01,3,,12
1983-11-01,2,,19
1983-12-01,5,,78
1984-01-01,6,,13
1984-02-01,2,,26
1984-03-01,2,,0
1984-04-01,3,,30
1984-05-01,7,,1496
1984-06-01,6,,307
1984-07-01,2,,3
1984-08-01,4,,464
1984-09-01,5,,250
1984-10-01,5,,34
1984-11-01,5,,140
1984-12-01,4,,217
1985-01-01,7,1.33333333333333,378
1985-02-01,15,1.28571428571429,115
1985-03-01,9,1.25,8
1985-04-01,9,1.5,134
1985-05-01,8,1.5,401
1985-06-01,16,1.5,1532
1985-07-01,14,1.11111111111111,918
1985-08-01,17,1.33333333333333,1253
1985-09-01,16,1.2,1490
1985-10-01,14,1.25,895
1985-11-01,5,1.5,191
1985-12-01,7,1.0,95
1986-01-01,12,1.5,209
1986-02-01,6,2.0,94
1986-03-01,4,1.0,3
1986-04-01,9,1.0,152
1986-05-01,10,1.125,186
1986-06-01,12,1.0,498
1986-07-01,9,1.33333333333333,414
1986-08-01,15,1.0,475
1986-09-01,12,1.375,155
1986-10-01,11,1.25,381
1986-11-01,5,1.5,411
1986-12-01,5,1.0,359
1987-01-01,9,1.2,618
1987-02-01,8,1.5,327
1987-03-01,7,1.25,478
1987-04-01,5,1.0,100
1987-05-01,15,1.16666666666667,351
1987-06-01,5,1.0,98
1987-07-01,24,1.3,3965
1987-08-01,10,1.0,1869
1987-09-01,12,1.0,1632
1987-10-01,12,1.33333333333333,227
1987-11-01,7,1.0,62
1987-12-01,7,1.5,261
1988-01-01,7,1.0,341
1988-02-01,12,1.16666666666667,688
1988-03-01,8,1.5,90
1988-04-01,6,1.0,647
1988-05-01,13,1.0,514
1988-06-01,24,1.08333333333333,3282
1988-07-01,29,1.1,1275
1988-08-01,52,1.23076923076923,3341
1988-09-01,30,1.33333333333333,2482
1988-10-01,12,1.0,469
1988-11-01,13,1.14285714285714,1406
1988-12-01,2,1.0,198
1989-01-01,19,1.0,464
1989-02-01,14,1.0,190
1989-03-01,10,1.2,150
1989-04-01,17,1.2,276
1989-05-01,7,1.2,1024
1989-06-01,15,1.0,392
1989-07-01,39,1.09375,10770
1989-08-01,23,1.0,609
1989-09-01,15,1.0,178
1989-10-01,4,1.0,80
1989-11-01,7,1.0,350
1989-12-01,6,1.0,71
1990-01-01,17,1.25,562
1990-02-01,12,1.16666666666667,143
1990-03-01,7,1.0,317
1990-04-01,15,1.42857142857143,483
1990-05-01,17,1.42857142857143,500
1990-06-01,26,1.07692307692308,1517
1990-07-01,17,1.07692307692308,913
1990-08-01,17,1.0,1003
1990-09-01,13,1.33333333333333,517
1990-10-01,18,1.0,203
1990-11-01,8,1.0,203
1990-12-01,10,1.16666666666667,60
1991-01-01,5,1.33333333333333,405
1991-02-01,7,1.5,453
1991-03-01,20,1.25,1095
1991-04-01,13,1.0,138061
1991-05-01,20,1.11111111111111,1587
1991-06-01,19,1.18181818181818,2460
1991-07-01,38,1.03846153846154,2525
1991-08-01,41,1.125,2122
1991-09-01,18,1.07692307692308,584
1991-10-01,10,1.0,190
1991-11-01,6,1.25,6427
1991-12-01,16,1.09090909090909,112
1992-01-01,15,1.0,276
1992-02-01,13,1.71428571428571,321
1992-03-01,17,1.45454545454545,713
1992-04-01,13,1.28571428571429,386
1992-05-01,10,1.25,1512
1992-06-01,20,1.15384615384615,622
1992-07-01,19,1.16666666666667,571
1992-08-01,19,1.21428571428571,527
1992-09-01,25,1.23529411764706,8553
1992-10-01,14,1.0,226
1992-11-01,13,1.2,207
1992-12-01,7,1.25,41
1993-01-01,16,1.16666666666667,169
1993-02-01,17,1.0,1607
1993-03-01,3,1.0,84
1993-04-01,9,1.0,348
1993-05-01,22,1.0,472
1993-06-01,21,1.22222222222222,1669
1993-07-01,22,1.3,4900
1993-08-01,21,1.09090909090909,1669
1993-09-01,13,1.375,645
1993-10-01,21,1.3,1011
1993-11-01,16,1.11111111111111,282
1993-12-01,31,1.1875,715
1994-01-01,20,1.0,473
1994-02-01,7,1.33333333333333,120
1994-03-01,13,1.0,147
1994-04-01,10,1.0,128
1994-05-01,11,1.2,2300
1994-06-01,15,1.33333333333333,1827
1994-07-01,33,1.16666666666667,2749
1994-08-01,34,1.13636363636364,1325
1994-09-01,26,1.22222222222222,1069
1994-10-01,25,1.0,669
1994-11-01,27,1.16666666666667,2299
1994-12-01,7,1.0,66
1995-01-01,10,1.28571428571429,72
1995-02-01,7,1.0,161
1995-03-01,9,1.25,31
1995-04-01,11,1.33333333333333,162
1995-05-01,26,1.11111111111111,3294
1995-06-01,21,1.11111111111111,727
1995-07-01,27,1.3,2435
1995-08-01,23,1.23076923076923,1869
1995-09-01,43,1.07407407407407,4611
1995-10-01,28,1.15384615384615,1304
1995-11-01,14,1.66666666666667,237
1995-12-01,19,1.14285714285714,528
1996-01-01,21,1.09090909090909,184
1996-02-01,16,1.42857142857143,261
1996-03-01,6,1.0,98
1996-04-01,10,1.0,247
1996-05-01,18,1.22222222222222,170
1996-06-01,20,1.28571428571429,3764
1996-07-01,35,1.13333333333333,1852
1996-08-01,25,1.375,2644
1996-09-01,19,1.25,450
1996-10-01,21,1.125,1366
1996-11-01,15,1.125,2592
1996-12-01,12,1.0,297
1997-01-01,19,1.41666666666667,561
1997-02-01,13,1.33333333333333,191
1997-03-01,18,1.16666666666667,269
1997-04-01,13,1.0,137
1997-05-01,13,1.16666666666667,563
1997-06-01,38,1.08695652173913,1265
1997-07-01,46,1.16666666666667,1923
1997-08-01,40,1.1304347826087,2311
1997-09-01,19,1.0,1992
1997-10-01,27,1.05882352941176,7670
1997-11-01,16,1.22222222222222,1012
1997-12-01,19,1.09090909090909,155
1998-01-01,10,1.5,143
1998-02-01,16,1.1,550
1998-03-01,26,1.27777777777778,1570
1998-04-01,31,1.15789473684211,614
1998-05-01,36,1.16,524
